Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
CA-I-22417,DEEP ROOTS IMPORTS LLC,,2553 DEARBORN DR,LOS ANGELES,CA,90068,LOS ANGELES,Importer (Alcohol),0
CA-I-22418,"JAF ASSOCIATES, INC.",Mexican Elixirs,134 MONTANYA CT,WALNUT CREEK,CA,94597,,Importer (Alcohol),0
CA-I-22419,DREADNOUGHT CELLARS LLC,,35265 WILLOW AVE STE 201 & 202,CLARKSBURG,CA,95612,YOLO,Importer (Alcohol),0
CA-I-22421,PAMPELONNE LLC,Pampelonne,4300 FINCH RD,MODESTO,CA,95357,STANISLAS,Importer (Alcohol),0
CA-I-22422,ANDRES CEDANO,Captura Del Vino,935 POINSETTIA AVE NE STE 206,VISTA,CA,92081,SAN DIEGO,Importer (Alcohol),0
CA-I-22423,AMIND B&D LLC,,2444 E DEL MAR BLVD UNIT 212,PASADENA,CA,91107,,Importer (Alcohol),0
CA-I-22424,"H & L INTERNATIONAL, INC.",,14508 CENTRAL AVE,CHINO,CA,91710,SAN BERNARDINO,Importer (Alcohol),0
CA-I-22425,DANCH AND GRANGER SELECTIONS LLC,,13701 PASEO DEL ROBLE DR,LOS ALTOS HILLS,CA,94022,SANTA CLARA,Importer (Alcohol),0
CA-I-22426,ROK WINES,,1271 LOMBARD ST,SAN FRANCISCO,CA,94109,SAN FRANCISCO,Importer (Alcohol),0
CA-I-22427,DOS HOMBRES INC.,Dos Hombres,21650 OXNARD ST STE 350,WOODLAND HILLS,CA,91367,,Importer (Alcohol),0
CA-I-22429,PACT WINES INC,,717 MARKET ST STE 100,SAN FRANCISCO,CA,94103,,Importer (Alcohol),0
CA-I-22430,CNJ DISTRIBUTION LLC,CNJ Distribution,534 S ELWOOD AVE BLDG A,GLENDORA,CA,91741,,Importer (Alcohol),0
CA-I-22431,CAMPFIRE SMOKED SPIRITS LLC,Campfire Smoked Spirits,239 W ALLEN AVE,SAN DIMAS,CA,91773,LOS ANGELES,Importer (Alcohol),0
CA-I-22432,"R. JELINEK USA, LLC",,5000 BIRCH ST,NEWPORT BEACH,CA,92660,ORANGE,Importer (Alcohol),0
CA-I-22433,EL PACHUCO CORP.,El Pachuco,2425 E SLAUSON AVE UNIT 108,HUNTINGTON PARK,CA,90255,,Importer (Alcohol),0
CA-I-22434,OUT FROM LAND INVESTOR GROUP LLC,,5565 TESLA RD,LIVERMORE,CA,94550,ALAMEDA,Importer (Alcohol),0
CA-I-22435,PARK AVENUE WINE LLC,"Park Avenue Wine, LLC",3801 SHOEMAKE AVE BLDG,MODESTO,CA,95358,STANISLAUS,Importer (Alcohol),0
CA-I-22436,"BLASON LOUIS USA, INC.",The Grand Verre,2220 EASTMAN AVE UNIT 105,VENTURA,CA,93003,VENTURA,Importer (Alcohol),0
CA-I-22437,TOP SHELF SPIRITS COMPANY,,823 PASO ROBLES ST,PASO ROBLES,CA,93446,,Importer (Alcohol),0
CA-I-22438,O & CH ESTATE LLC,,2213 CANYONBACK RD,LOS ANGELES,CA,90049,,Importer (Alcohol),0
CA-I-22439,LOS SANTOS LLC,,147 DEL ORO LAGOON,NOVATO,CA,94949,,Importer (Alcohol),0
CA-I-22440,INVOER EKKE LLC,Canopy Wine Selections,15751 TAPIA ST,IRWINDALE,CA,91706,LOS ANGELES,Importer (Alcohol),0
CA-I-22441,AGAVE LA MAGDALENA INC.,,3007 URBAN AVE,SANTA MONICA,CA,90404,LOS ANGELES,Importer (Alcohol),0
CA-I-22442,"LYONS COMPANY, LLC",Lyons Wine,414 CHINN ST,SANTA ROSA,CA,95404,SONOMA,Importer (Alcohol),0
CA-I-22443,"W CELLARS, INC.",,927 N LA CIENEGA BLVD,LOS ANGELES,CA,90069,LOS ANGELES,Importer (Alcohol),0
CA-I-22444,FARM WINE IMPORTS LLC,Farm Wine Imports,1332 FOURTH ST STE M,BERKELEY,CA,94710,ALAMEDA COUNTY,Importer (Alcohol),0
CA-I-22445,HOOD DISTRIBUTION COMPANY LLC,Hood Distribution Company,10035 HIGHWAY 160,HOOD,CA,95639,,Importer (Alcohol),0
CA-I-22446,MICHAEL DAVIS,,639 N COMMONWEALTH AVE,LOS ANGELES,CA,90004,LOS ANGELES,Importer (Alcohol),0
CA-I-22447,TEQUILA PARTY TIME INC,VIP INDUSTRIES,9465 CUSTOMHOUSE PLZ UNIT C,SAN DIEGO,CA,92154,SAN DIEGO,Importer (Alcohol),0
CA-I-22449,YOURS TRULY WINE IMPORTERS,,77564 COUNTRY CLUB DR STE 227,PALM DESERT,CA,92211,RIVERSIDE,Importer (Alcohol),0
CA-I-22450,LLC G&G PRODUCTION,Qvevri Wine Georgia,100 S MURPHY AVE STE 200,SUNNYVALE,CA,94086,SANTA CLARA,Importer (Alcohol),0
